StopID_Route,WhiteAlone,BlackorAfricanAmericanAlone,AmericanIndianandAlaskaNativealone,AsianAlone,HawaiianPacificIslander,OtherRace,TwoPlusRaces,Owner occupied,Renter occupied,Age15to24,Age25to34,Age35to44,Age45to54,Age55to59,Age60to64,Age65to74,Age75to84,Age85andOver,tot_blk_area_sq_mi,areaPcBlockInStop
7739-31,171.94552606717744,3.508742181475568,0.821998078770413,0.008976833976833978,0.0,4.642093506207467,1.282987610619469,165.80199543187882,16.408328846348397,1.822198078770413,29.70028615603435,22.927906697308664,38.01832405771676,20.829009131176125,16.202772094007145,26.225786967008048,16.620036342028094,9.864004754177596,0.172756,9.441027847644616
7739-38,171.94552606717744,3.508742181475568,0.821998078770413,0.008976833976833978,0.0,4.642093506207467,1.282987610619469,165.80199543187882,16.408328846348397,1.822198078770413,29.70028615603435,22.927906697308664,38.01832405771676,20.829009131176125,16.202772094007145,26.225786967008048,16.620036342028094,9.864004754177596,0.172756,9.441027847644616
7745-16,425.043552123725,9.47799704403398,1.62067352139372,6.0777427600030975,0.0,1.1464318184283817,5.352806118285024,168.5148358649105,280.20436752095867,16.392705521736442,92.20000805885017,75.11047110118949,82.67788716106728,61.21269450471912,25.817115675711335,42.800840490219464,29.455209032617134,23.05227183975875,0.172684,11.937019262659648
7745-31,425.043552123725,9.47799704403398,1.62067352139372,6.0777427600030975,0.0,1.1464318184283817,5.352806118285024,168.5148358649105,280.20436752095867,16.392705521736442,92.20000805885017,75.11047110118949,82.67788716106728,61.21269450471912,25.817115675711335,42.800840490219464,29.455209032617134,23.05227183975875,0.172684,11.937019262659648
7745-38,425.043552123725,9.47799704403398,1.62067352139372,6.0777427600030975,0.0,1.1464318184283817,5.352806118285024,168.5148358649105,280.20436752095867,16.392705521736442,92.20000805885017,75.11047110118949,82.67788716106728,61.21269450471912,25.817115675711335,42.800840490219464,29.455209032617134,23.05227183975875,0.172684,11.937019262659648
7748-32,226.08915704459895,7.341765349086408,1.6817553168783115,2.688329369218152,0.0,3.6355563123840473,2.390789577987773,218.322815953872,25.50453701628165,5.822234420986968,23.781261328956358,33.90087186132548,50.688829823828414,23.81946315090795,29.792754276407766,45.388452305150686,25.22607146166923,5.407414340920791,0.17269399999999996,5.788656921647454
7748-33,226.08915704459895,7.341765349086408,1.6817553168783115,2.688329369218152,0.0,3.6355563123840473,2.390789577987773,218.322815953872,25.50453701628165,5.822234420986968,23.781261328956358,33.90087186132548,50.688829823828414,23.81946315090795,29.792754276407766,45.388452305150686,25.22607146166923,5.407414340920791,0.17269399999999996,5.788656921647454
7751-35,176.8223337916853,21.55749861307558,1.1312382516376305,1.5450698654436341,0.0,7.794161787892208,4.882526856472349,132.3419966721212,81.39083249408549,18.55366268062477,44.05990349085184,32.95900274671248,37.4524256564696,23.672110601673012,14.651983748028565,22.520619176380585,13.524950570362204,6.338170495103639,0.172693,4.559415265778354
7758-38,255.40042113524507,6.348874586495554,1.003292833175005,1.1472240939348064,0.0,4.435429416486705,1.7273598184133592,240.9170465435422,29.145555340208308,2.7367751901864166,38.207992492768206,32.6283948895047,58.518921972155816,24.647232303061813,21.65142081026084,45.298204043873746,29.297011806037407,17.076648375901584,0.17276700000000003,14.11481796056456
7760-35,215.19071851551277,11.82422631764478,0.6880813967923913,4.7062605515934015,0.0,5.263145454153171,1.6286481624025675,219.0676470235427,20.23343337455642,4.629485165990017,27.99815570868539,52.78407372038776,82.1346306811302,34.322266145756856,24.368840172028428,9.197616404848924,3.461082145485543,0.4049302537860116,0.17273400000000003,7.701699589748242
7762-32,248.7829155208894,8.598241833752693,0.2932562620423892,1.1309798805781761,0.2932562620423892,0.08656182987848461,1.2675817426359504,251.4115001242684,9.041293207551034,1.2305213396019812,19.28071437711569,30.34555312719946,60.621021709945346,31.49233709651864,39.951958401367165,42.541407678249,29.971122003143694,5.018157598678511,0.172677,6.530487585735965
7764-35,266.0099602622358,9.144179602442476,0.1019241192411924,1.291048498648701,0.0,2.092192473822874,3.5008271845934464,261.24865291156834,20.891479229416117,1.4271626665823798,40.38230026848756,46.02447536581974,60.304294937820835,42.60503176441723,27.914826217706395,34.94245196575737,24.560024174492295,3.97956477990064,0.17272600000000005,10.503825835351856
7766-32,273.2949290084506,8.102499031596617,1.1846990579506342,0.9148523611324265,0.0,8.588384213107318,4.18673406576089,253.9640623551437,42.308035382854726,6.699223846421022,32.11390294931845,47.1305297574363,60.38955613661241,31.434415587316124,25.177896876895808,48.85381373511646,35.690412332672054,8.782346516209842,0.17271299999999998,9.360158091783513
7766-35,273.2949290084506,8.102499031596617,1.1846990579506342,0.9148523611324265,0.0,8.588384213107318,4.18673406576089,253.9640623551437,42.308035382854726,6.699223846421022,32.11390294931845,47.1305297574363,60.38955613661241,31.434415587316124,25.177896876895808,48.85381373511646,35.690412332672054,8.782346516209842,0.17271299999999998,9.360158091783513
7778-33,304.52150364178806,13.781681532209426,1.7587890693577655,8.27360762704814,0.0,3.0170972463968657,3.7370166559232634,192.85073120646365,142.23896456625988,16.06399876090913,105.91909346207822,83.25589342240023,47.332492412592714,20.906025810313018,19.44568896844078,14.0234692509776,9.222493248357024,18.92054043665475,0.172691,15.550447215938041
7782-39,211.00726912268823,6.976025719699572,1.3086595793411462,1.7800916731523322,0.0,3.494428304894845,2.6820410442913,187.85613682445316,39.392378619614284,1.1561594728114353,51.34524126486262,45.28002258660356,51.31708153531294,26.084137134121512,16.76942762984304,15.986960923029843,14.371961988667726,4.937522908814755,0.17268999999999998,9.399013065881636
