ZONING_COD,StopID,Route,area_sq_mi
TR-U1,1730,56,0.00072435
TR-U1,1730,57,0.00072435
TR-U1,1750,3,0.0009856
TR-U1,1750,4,0.0009856
TR-U1,1750,10,0.0009856
TR-U1,1750,38,0.0009856
TR-U1,1805,6,8.10554E-05
TR-U1,1805,14,8.10554E-05
TR-U1,1805,15,8.10554E-05
TR-U1,1805,27,8.10554E-05
TR-U1,1805,29,8.10554E-05
TR-U1,1805,57,8.10554E-05
TR-U1,1878,3,0.0009856
TR-U1,1878,4,0.0009856
TR-U1,1878,10,0.0009856
TR-U1,1878,38,0.0009856
TR-U1,1883,6,0.0009856
TR-U1,1883,14,0.0009856
TR-U1,1883,15,0.0009856
TR-U1,1883,27,0.0009856
TR-U1,1883,37,0.0009856
TR-U1,1883,57,0.0009856
TR-U1,1910,3,0.00090049
TR-U1,1910,38,0.00090049
A,3740,31,0.007433899
TR-C4,454,3,0.000228974
TR-C4,454,58,0.000228974
TR-C4,542,3,0.000318898
TR-C4,542,58,0.000318898
TR-C4,692,2,0.000318898
TR-C4,692,10,0.000318898
TR-C4,692,19,0.000318898
TR-C4,692,37,0.000318898
TR-C4,692,48,0.000318898
TR-C4,2717,1,0.000187748
TR-C4,2717,2,0.000187748
TR-C4,2717,10,0.000187748
TR-C4,2717,19,0.000187748
TR-C4,2717,37,0.000187748
TR-C4,2717,48,0.000187748
TR-C4,2806,2,0.000318898
TR-C4,2806,10,0.000318898
TR-C4,2806,19,0.000318898
TR-C4,2806,37,0.000318898
TR-C4,2921,1,0.000318898
TR-C4,2921,2,0.000318898
TR-C4,2921,10,0.000318898
TR-C4,2921,19,0.000318898
TR-C4,2921,37,0.000318898
TR-C4,2921,48,0.000318898
TR-C4,2978,11,0.000203029
TR-C4,2978,28,0.000203029
TR-C4,2978,38,0.000203029
TR-C4,2978,44,0.000203029
TR-C4,2978,80,0.000203029
TR-C4,2064,81,0.000318898
TR-C4,2195,11,0.000318898
TR-C4,2195,28,0.000318898
TR-C4,2195,38,0.000318898
TR-C4,2195,44,0.000318898
TR-C4,2195,80,0.000318898
CN,61,80,0.001264845
CN,73,80,0.001264845
CN,77,80,0.001264845
CN,100,1,0.001017323
CN,100,2,0.001017323
CN,100,3,0.001017323
CN,100,4,0.001017323
CN,100,10,0.001017323
CN,100,11,0.001017323
CN,100,12,0.001017323
CN,100,13,0.001017323
CN,100,14,0.001017323
CN,100,15,0.001017323
CN,100,19,0.001017323
CN,100,27,0.001017323
CN,100,28,0.001017323
CN,100,29,0.001017323
CN,100,37,0.001017323
CN,100,38,0.001017323
CN,100,48,0.001017323
CN,100,56,0.001017323
CN,100,57,0.001017323
CN,100,58,0.001017323
CN,100,70,0.001017323
CN,100,71,0.001017323
CN,100,72,0.001017323
CN,104,4,0.001264845
CN,104,27,0.001264845
CN,104,44,0.001264845
CN,115,6,0.001264845
CN,115,13,0.001264845
CN,115,47,0.001264845
CN,180,6,0.001264845
CN,180,13,0.001264845
CN,180,47,0.001264845
CN,180,48,0.001264845
CN,180,82,0.001264845
CN,190,4,0.001264845
CN,190,44,0.001264845
CN,271,27,0.001264845
CN,327,6,0.001264845
CN,327,27,0.001264845
CN,341,82,0.001264845
CN,388,6,0.001264845
CN,388,13,0.001264845
CN,388,47,0.001264845
CN,388,82,0.001264845
CN,392,4,0.001264845
CN,392,27,0.001264845
CN,392,44,0.001264845
CN,441,4,0.001239547
CN,441,44,0.001239547
CN,445,4,0.001264845
CN,445,44,0.001264845
CN,455,1,0.001264845
CN,455,2,0.001264845
CN,455,3,0.001264845
CN,455,4,0.001264845
CN,455,6,0.001264845
CN,455,10,0.001264845
CN,455,11,0.001264845
